No.,Bathroom,Bedroom,Parking,Garage,Is.Garage,Levels,Pool,Spa,Price.USD
0,3,4,0,0,0,0,0,0,169900
1,2,4,0,0,0,0,0,0,159000
2,1,1,1,0,0,0,0,0,45000
3,2,2,0,0,0,0,0,0,165000
4,0,0,0,0,0,0,0,0,128593
5,2,3,0,0,0,0,0,0,173500
6,2,3,1,0,0,0,1,0,349900
7,1,3,0,0,0,0,0,0,99500
8,2,3,0,0,0,0,0,0,129500
9,3,3,0,0,0,0,1,0,159995
10,1,3,0,0,0,0,0,0,59900
11,2,3,0,0,0,0,1,0,199500
12,1,2,0,0,0,0,0,0,52900
13,0,0,0,0,0,0,0,0,159800
14,3,3,0,0,0,0,0,0,490000
15,0,3,0,0,0,0,0,0,54999
16,0,0,0,0,0,0,0,0,269999
17,3,3,1,0,0,0,0,0,259900
18,2,3,0,0,0,0,0,0,175000
19,8,7,1,3,0,0,1,1,798000
20,0,0,0,0,0,0,0,0,144000
21,0,0,0,0,0,0,0,0,264500
22,0,0,0,0,0,0,0,0,166000
23,0,0,0,0,0,0,0,0,97500
24,0,0,0,0,0,0,0,0,30000
25,2,2,1,0,1,1.5,0,0,350000
26,0,0,0,0,0,0,0,0,1341895
27,0,0,0,0,0,0,0,0,45000
28,0,0,0,0,0,0,0,0,758850
29,0,0,0,0,0,0,0,0,9980
30,2,3,1,0,1,1,0,0,220000
31,0,0,0,0,0,0,0,0,125000
32,0,0,0,0,0,0,0,0,390350
33,3,3,0,0,1,1.5,0,0,312500
34,3,3,1,0,1,1,0,0,775000
35,3,4,0,0,1,2,0,0,364900
36,3,4,0,0,1,1.5,0,0,349900
37,0,0,0,0,0,0,0,0,24900
38,2,3,1,0,1,1,0,0,440000
39,7,4,1,0,1,3,1,1,1300000
40,2,3,1,0,0,1,0,0,477000
41,0,0,0,0,0,0,0,0,700000
42,2,3,1,0,0,2,0,0,296000
43,0,0,0,0,0,0,0,0,750000
44,3,3,1,2,1,1.5,0,0,369900
45,6,5,1,0,1,2,1,1,1200000
46,4,4,1,0,1,2,0,0,550000
47,5,4,1,3,1,3,0,0,1179900
48,0,0,0,0,0,0,0,0,113300
49,2,3,1,2,1,1,0,0,379900
50,2,2,1,0,1,1,0,0,325000
51,1,3,0,0,1,2,0,0,109000
52,3,3,1,0,1,1,0,1,299999
53,2,3,1,1,1,1,0,0,250000
54,2,3,0,0,0,1,0,0,174500
55,3,5,1,0,0,1,0,0,330000
