No.,Year.Built,BuildingArea,AreaUnits,Type,County,City,Price.USD
0,1985,0,Acres,SINGLE_FAMILY,Brantley County,Waycross,169900
1,1910,0,sqft,SINGLE_FAMILY,Ware County,Waycross,159000
2,1945,0,Acres,SINGLE_FAMILY,Ware County,Waycross,45000
3,1971,0,Acres,SINGLE_FAMILY,Brantley County,Waycross,165000
4,0,0,Acres,LOT,Ware County,Waycross,128593
5,1980,0,Acres,SINGLE_FAMILY,Ware County,Waycross,173500
6,1999,0,Acres,SINGLE_FAMILY,Brantley County,Waycross,349900
7,1960,0,Acres,SINGLE_FAMILY,Ware County,Waycross,99500
8,1940,0,Acres,SINGLE_FAMILY,Ware County,Waycross,129500
9,1922,0,Acres,SINGLE_FAMILY,Ware County,Waycross,159995
10,1967,0,sqft,SINGLE_FAMILY,Ware County,Waycross,59900
11,2000,0,Acres,SINGLE_FAMILY,Ware County,Waycross,199500
12,1964,0,sqft,SINGLE_FAMILY,Ware County,Waycross,52900
13,0,0,sqft,LOT,Ware County,Waycross,159800
14,1965,0,sqft,SINGLE_FAMILY,Ware County,Waycross,490000
15,1997,0,Acres,LOT,Ware County,Waycross,54999
16,0,0,Acres,LOT,Ware County,Waycross,269999
17,1979,0,Acres,SINGLE_FAMILY,Ware County,Waycross,259900
18,1985,0,Acres,SINGLE_FAMILY,Ware County,Waycross,175000
19,2003,0,Acres,SINGLE_FAMILY,Ware County,Waycross,798000
20,0,0,Acres,LOT,Ware County,Waycross,144000
21,0,0,Acres,LOT,Ware County,Waycross,264500
22,0,0,Acres,LOT,Ware County,Waycross,166000
23,0,0,Acres,LOT,Ware County,Waycross,97500
24,0,0,Acres,LOT,Ware County,Waycross,30000
25,1974,1282,Acres,SINGLE_FAMILY,Jasper County,Mansfield,350000
26,0,0,Acres,LOT,Newton County,Mansfield,1341895
27,0,0,Acres,LOT,Newton County,Mansfield,45000
28,0,0,Acres,LOT,Newton County,Mansfield,758850
29,0,0,Acres,LOT,Jasper County,Mansfield,9980
30,2021,1400,Acres,SINGLE_FAMILY,Jasper County,Mansfield,220000
31,0,0,Acres,LOT,Jasper County,Mansfield,125000
32,0,0,Acres,LOT,Newton County,Mansfield,390350
33,2008,2173,Acres,SINGLE_FAMILY,Jasper County,Mansfield,312500
